x1,y1,x2,y2,visible
278.06,165.08,104.5,165.08,1
277.6,271.28,277.6,165.08,1
191.57,258.85,104.75,165.08,1
277.6,165.08,191.57,258.85,1
254.71,356.67,217.37,312.67,1
217.37,312.67,200.37,248.67,1
277.6,270.33,217.37,312.67,1
276.37,271.28,254.71,356.67,1
203.04,258.85,191.57,258.85,1
292.73,165.08,466.29,165.08,1
293.18,271.28,293.18,165.08,1
379.21,258.85,466.04,165.08,1
293.18,165.08,379.21,258.85,1
316.08,356.67,353.41,312.67,1
353.41,312.67,370.41,248.67,1
293.18,270.33,353.41,312.67,1
294.41,271.28,316.08,356.67,1
367.75,258.85,379.21,258.85,1
293.18,258.85,277.6,258.85,1
293.18,165.08,277.6,165.08,1
285.75,203.17,277.6,195.15,1
285.1,203.15,293.23,195.15,1
203.5,133.82,104.5,165.08,1
265.75,165.08,203.5,133.82,1
404.25,133.82,305.25,165.08,1
466.5,165.08,404.25,133.82,1
274.75,149.45,265.54,164.59,1
296.75,149.45,274.75,149.45,1
306.61,165.08,296.75,149.45,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
